User ID,Age,Gender,Height,Interests,Looking For,Children,Education Level,Occupation,Swiping History,Frequency of Usage,Height_cm
1,30,Male,5.240384818289867,"['Sports', 'Cooking', 'Hiking', 'Music', 'Movies', 'Reading', 'Travel']",Casual Dating,No,High School,Student,96,Weekly,159.72692926147514
2,27,Female,4.937625189981325,"['Sports', 'Reading']",Friendship,Yes,Master's Degree,Artist,96,Monthly,150.49881579063077
3,29,Female,5.806295844533026,['Sports'],Casual Dating,No,Bachelor's Degree,Social Media Influencer,64,Daily,176.97589734136665
4,29,Female,5.101402346041159,['Reading'],Marriage,No,Ph.D.,Doctor,67,Daily,155.4907435073345
5,32,Male,5.986670327920848,"['Sports', 'Hiking', 'Music', 'Movies', 'Reading']",Long-term Relationship,Yes,Ph.D.,Engineer,93,Monthly,182.47371159502745
6,25,Female,5.192045043820928,"['Sports', 'Cooking', 'Movies', 'Music', 'Travel', 'Reading', 'Hiking']",Marriage,Yes,Master's Degree,Engineer,38,Monthly,158.25353293566187
7,27,Female,5.725125741058958,"['Travel', 'Cooking']",Marriage,No,Master's Degree,Student,77,Monthly,174.50183258747705
8,21,Male,5.1082760743415285,"['Cooking', 'Hiking', 'Movies', 'Reading', 'Music', 'Travel']",Marriage,Yes,Bachelor's Degree,Teacher,87,Daily,155.70025474592978
9,33,Female,5.364951099041565,"['Music', 'Reading', 'Sports', 'Cooking', 'Movies']",Friendship,Maybe,High School,Social Media Influencer,6,Monthly,163.5237094987869
10,26,Female,6.020815284576836,"['Sports', 'Reading', 'Music', 'Cooking', 'Movies', 'Hiking']",Long-term Relationship,No,Ph.D.,Teacher,8,Weekly,183.51444987390195
11,27,Female,4.932742500348858,"['Cooking', 'Reading', 'Music']",Friendship,Maybe,Master's Degree,Teacher,19,Weekly,150.34999141063318
12,20,Female,5.752873347389619,"['Cooking', 'Sports']",Friendship,Yes,Ph.D.,Business Owner,19,Monthly,175.3475796284356
13,33,Female,5.563135850494532,"['Music', 'Cooking', 'Sports']",Casual Dating,Yes,Bachelor's Degree,Teacher,12,Weekly,169.56438072307333
14,25,Female,5.402888702854795,"['Travel', 'Movies']",Friendship,Yes,High School,Entrepreneur,80,Monthly,164.68004766301414
15,20,Male,5.511370950425028,['Hiking'],Friendship,No,Bachelor's Degree,Student,81,Monthly,167.98658656895486
16,30,Female,5.866473532435496,['Cooking'],Marriage,Maybe,Bachelor's Degree,Artist,97,Monthly,178.8101132686339
17,27,Male,6.011520446487662,"['Cooking', 'Music', 'Hiking']",Friendship,Yes,Bachelor's Degree,Engineer,12,Weekly,183.23114320894393
18,29,Male,5.627683848284905,"['Movies', 'Sports', 'Travel', 'Music', 'Cooking']",Marriage,No,Master's Degree,Doctor,4,Daily,171.5318036957239
19,31,Male,5.171047595192321,"['Sports', 'Movies']",Long-term Relationship,Yes,Master's Degree,Business Owner,32,Daily,157.61353070146194
20,24,Female,5.206369247210565,"['Sports', 'Cooking', 'Hiking']",Friendship,Yes,Ph.D.,Entrepreneur,13,Daily,158.69013465497804
21,31,Male,5.329140528954629,['Cooking'],Friendship,Maybe,Bachelor's Degree,Engineer,5,Weekly,162.4322033225371
22,27,Female,5.430026156327804,"['Travel', 'Reading', 'Hiking', 'Cooking', 'Sports']",Casual Dating,Maybe,Master's Degree,Doctor,61,Weekly,165.50719724487146
23,22,Male,5.390113466452185,"['Travel', 'Hiking', 'Reading']",Friendship,No,Bachelor's Degree,Artist,55,Daily,164.2906584574626
24,31,Female,5.30866811020693,"['Music', 'Travel']",Casual Dating,Yes,Bachelor's Degree,Social Media Influencer,98,Daily,161.80820399910723
25,24,Female,6.028219579617898,"['Music', 'Travel', 'Cooking', 'Hiking', 'Movies', 'Reading', 'Sports']",Casual Dating,No,Master's Degree,Entrepreneur,72,Monthly,183.74013278675352
26,29,Female,5.647510204507609,"['Sports', 'Reading', 'Hiking']",Friendship,Maybe,High School,Business Owner,98,Monthly,172.13611103339193
27,32,Male,5.3643518092927955,"['Reading', 'Cooking']",Casual Dating,Maybe,Master's Degree,Engineer,37,Monthly,163.50544314724442
28,20,Female,5.754320099268738,"['Reading', 'Sports', 'Hiking', 'Travel', 'Movies', 'Music', 'Cooking']",Marriage,Maybe,High School,Doctor,52,Daily,175.39167662571114
29,19,Female,5.732664878338943,"['Cooking', 'Sports', 'Reading']",Long-term Relationship,Yes,Ph.D.,Artist,14,Weekly,174.73162549177098
30,32,Male,6.088162166352509,"['Music', 'Movies', 'Travel']",Casual Dating,Yes,Bachelor's Degree,Entrepreneur,23,Monthly,185.56718283042449
31,18,Female,5.335882855091953,"['Sports', 'Movies', 'Travel', 'Cooking', 'Reading']",Long-term Relationship,Maybe,Ph.D.,Artist,29,Weekly,162.63770942320272
32,30,Male,4.906158034428246,"['Cooking', 'Travel', 'Reading']",Casual Dating,Yes,Ph.D.,Student,28,Weekly,149.53969688937292
33,20,Female,5.720755638783328,"['Sports', 'Movies', 'Cooking', 'Travel', 'Hiking', 'Music', 'Reading']",Friendship,No,Master's Degree,Teacher,74,Monthly,174.36863187011585
34,21,Male,5.0980924197068305,"['Music', 'Cooking']",Casual Dating,Yes,Ph.D.,Entrepreneur,81,Weekly,155.3898569526642
35,25,Male,5.671438558839379,"['Reading', 'Sports']",Long-term Relationship,No,Ph.D.,Student,31,Weekly,172.86544727342428
36,19,Male,5.408660629652182,"['Movies', 'Cooking', 'Hiking', 'Reading', 'Sports', 'Travel', 'Music']",Friendship,No,Ph.D.,Business Owner,83,Daily,164.85597599179852
37,24,Male,4.915416267526658,"['Sports', 'Music', 'Reading', 'Hiking', 'Travel', 'Cooking', 'Movies']",Casual Dating,Yes,Master's Degree,Teacher,8,Monthly,149.82188783421253
38,26,Female,5.965380153412889,"['Sports', 'Movies', 'Music']",Long-term Relationship,No,Bachelor's Degree,Entrepreneur,85,Weekly,181.82478707602488
39,24,Female,5.678084813207579,"['Sports', 'Music', 'Reading', 'Hiking']",Casual Dating,Yes,Ph.D.,Entrepreneur,52,Weekly,173.068025106567
40,19,Male,5.920743402023185,"['Movies', 'Music']",Friendship,Maybe,High School,Social Media Influencer,12,Daily,180.46425889366668
41,24,Female,5.238880597920358,"['Hiking', 'Music', 'Reading', 'Movies', 'Travel']",Casual Dating,Yes,Bachelor's Degree,Social Media Influencer,88,Monthly,159.6810806246125
