id,x,label,component
0,3.378797538,background,exponential
1,1.410023466,background,exponential
2,4.575999384,background,exponential
3,3.822049136,background,exponential
4,5.2802947,signal,gaussian
5,3.216061075,background,exponential
6,2.220584293,background,exponential
7,6.972455754,background,exponential
8,1.716825175,background,exponential
9,8.906630005,background,exponential
10,4.187164412,signal,gaussian
11,4.748686973,background,exponential
12,4.987926484,signal,gaussian
13,4.254180626,signal,gaussian
14,5.515668166,signal,gaussian
15,0.6362073174,background,exponential
16,5.421616011,signal,gaussian
17,1.616697291,background,exponential
18,5.130529954,signal,gaussian
19,5.018575886,background,exponential
20,4.611489715,background,exponential
21,4.669219454,signal,gaussian
22,5.050911155,signal,gaussian
23,0.7139961285,background,exponential
24,0.1605093158,background,exponential
25,4.083455908,signal,gaussian
26,4.36885406,background,exponential
27,3.906697709,background,exponential
28,7.865186127,background,exponential
29,4.507764996,signal,gaussian
30,2.863201221,background,exponential
31,5.473342138,signal,gaussian
32,2.311953691,background,exponential
33,0.6186648822,background,exponential
34,0.7573114105,background,exponential
35,4.540028673,background,exponential
36,1.243660722,background,exponential
37,1.09870165,background,exponential
38,3.557754746,background,exponential
39,1.185551225,background,exponential
40,5.04792765,signal,gaussian
41,4.761886845,signal,gaussian
42,6.846035034,background,exponential
43,8.392069843,background,exponential
44,2.376586155,background,exponential
45,4.922002574,background,exponential
46,4.965361026,background,exponential
47,4.316773861,background,exponential
48,0.0760681932,background,exponential
49,4.521070098,signal,gaussian
50,8.39131029,background,exponential
51,9.094408544,background,exponential
52,4.752563739,signal,gaussian
53,4.970263545,signal,gaussian
54,4.730908104,signal,gaussian
55,5.127435652,signal,gaussian
56,1.07169206,background,exponential
57,0.2240195194,background,exponential
58,6.360605199,background,exponential
59,5.124508082,signal,gaussian
60,9.624311504,background,exponential
61,1.261259119,background,exponential
62,3.846760993,signal,gaussian
63,2.213301925,background,exponential
64,7.405291734,background,exponential
65,4.023406432,background,exponential
66,6.880975299,background,exponential
67,7.550010906,background,exponential
68,4.620687867,signal,gaussian
69,4.69436489,background,exponential
70,2.278419377,background,exponential
71,1.135896589,background,exponential
72,2.484849659,background,exponential
73,4.54359151,signal,gaussian
74,1.486817739,background,exponential
75,8.843950453,background,exponential
76,1.154504311,background,exponential
77,5.084489533,signal,gaussian
78,5.893668325,background,exponential
79,1.510132471,background,exponential
80,3.787834282,signal,gaussian
81,1.520481308,background,exponential
82,4.716361177,signal,gaussian
83,0.09446274772,background,exponential
84,1.027600779,background,exponential
85,9.637436914,background,exponential
86,4.910904984,background,exponential
87,8.113848168,background,exponential
88,5.217388853,signal,gaussian
89,4.997358943,background,exponential
90,9.380227379,background,exponential
91,5.019975208,background,exponential
92,4.961778377,background,exponential
93,4.863509538,signal,gaussian
94,0.8951572637,background,exponential
95,2.427174449,background,exponential
96,0.7681100363,background,exponential
97,8.007811996,background,exponential
98,6.807118732,background,exponential
99,5.388706875,background,exponential
100,6.624092411,background,exponential
101,5.629819949,background,exponential
102,5.459412905,signal,gaussian
103,4.835858424,background,exponential
104,9.652676862,background,exponential
105,6.746441338,background,exponential
106,1.742353818,background,exponential
107,5.050304613,background,exponential
108,5.619171618,signal,gaussian
109,5.318531341,signal,gaussian
110,5.352233806,signal,gaussian
111,4.68144726,signal,gaussian
112,4.125462067,background,exponential
113,5.184083431,signal,gaussian
114,7.415066603,background,exponential
115,0.257836738,background,exponential
116,6.548307076,background,exponential
117,2.145090085,background,exponential
118,2.359146448,background,exponential
119,5.101858301,signal,gaussian
120,6.34266962,background,exponential
121,2.140782069,background,exponential
122,2.572709091,background,exponential
123,4.437256691,signal,gaussian
124,0.2219034109,background,exponential
125,3.386777847,background,exponential
126,1.540137386,background,exponential
127,4.888590464,signal,gaussian
128,2.014274167,background,exponential
129,7.616470173,background,exponential
130,4.420228318,signal,gaussian
131,8.780360901,background,exponential
132,1.678566533,background,exponential
133,6.93098791,background,exponential
134,4.952903578,signal,gaussian
135,6.861848197,background,exponential
136,0.3077216612,background,exponential
137,4.529480414,background,exponential
138,4.276549792,background,exponential
139,2.129710396,background,exponential
140,7.453566079,background,exponential
141,6.137934459,signal,gaussian
142,6.85485038,background,exponential
143,5.912559795,background,exponential
144,4.029135319,background,exponential
145,1.224378151,background,exponential
146,8.21592391,background,exponential
147,8.838601902,background,exponential
148,2.867027437,background,exponential
149,9.12301074,background,exponential
150,0.1428201926,background,exponential
151,4.294826022,signal,gaussian
152,3.175159183,background,exponential
153,4.256768834,signal,gaussian
154,5.343795879,signal,gaussian
155,9.218296847,background,exponential
156,4.405807678,signal,gaussian
157,0.009416204021,background,exponential
158,1.396278218,background,exponential
159,1.970151092,background,exponential
160,6.606957066,background,exponential
161,3.703147121,signal,gaussian
162,5.046653586,signal,gaussian
163,2.277599768,signal,gaussian
164,5.949000655,background,exponential
165,8.207582584,background,exponential
166,5.668876978,background,exponential
167,5.158479663,signal,gaussian
168,4.542628744,signal,gaussian
169,1.770159705,background,exponential
170,2.118289269,background,exponential
