value,type
5.237256539720605,signal
6.2151706339946085,signal
5.212020388124959,signal
3.479702863172232,signal
5.014182702331174,signal
5.268830261180122,signal
5.096191095035006,signal
5.155550242445937,signal
4.044580677006574,signal
5.730169069618475,signal
5.021657771186162,signal
4.026355237643758,signal
5.155478922683418,signal
5.147944577489512,signal
4.8283241960248855,signal
4.519065675042069,signal
3.8458501704757717,signal
6.534396003270725,signal
4.363617364488047,signal
4.455268125326337,signal
7.57432779851781,signal
3.855933912882575,signal
4.371538212001376,signal
4.269303440255579,signal
4.4881148511701925,signal
4.9865272384437125,signal
3.58417249250813,signal
2.684030505893429,signal
4.403218656465099,signal
5.400078214802171,signal
5.987202180291507,signal
5.583392701567729,signal
3.8359109607504025,signal
4.1100136238428995,signal
4.718710881987146,signal
4.545665789188509,signal
4.938852443853198,signal
4.979082657899704,signal
5.400827958736436,signal
5.610876789807973,signal
2.817716459866782,signal
4.8057241784652405,signal
5.880944864502804,signal
5.170357396549762,signal
4.215877103887673,signal
5.349185739159249,signal
4.389111723769651,signal
5.992978421214417,signal
4.29516971216729,signal
5.9572149234573555,signal
6.458230066565834,signal
4.70536665722894,signal
2.693584596113567,signal
5.164059857581134,signal
6.313808890002248,signal
4.2493426766637805,signal
4.691585367161608,signal
5.706056795348394,signal
4.164116349395249,signal
4.961848923573181,signal
5.051948821065012,signal
5.831037921396193,signal
5.64459292268128,signal
5.9472310010754486,signal
4.694292186614836,signal
5.084392976705952,signal
4.683897296813007,signal
4.175399506868567,signal
6.671583651078633,signal
4.637639204576222,signal
4.701277039949722,signal
6.121762439844433,signal
4.889618018230785,signal
6.010244904379533,signal
5.138440408837255,signal
3.987382595463333,signal
6.343020314306229,signal
6.384633802577988,signal
5.071602184900318,signal
5.6349737709743115,signal
5.137554931256865,signal
5.603765800936049,signal
3.0366365074818105,signal
5.579213902960687,signal
5.588267614771736,signal
7.027091685060151,signal
3.3705494305516406,signal
4.093954908130359,signal
4.6470617832273335,signal
6.641779078762815,signal
5.942573551938585,signal
5.444223589218422,signal
6.459044997331218,signal
4.704431493222294,signal
5.596859528191272,signal
7.046901377661204,signal
5.228182520844432,signal
4.3849804524368,signal
6.352819762782287,signal
3.7116281865695973,signal
5.4337538801864484,signal
6.008732717568857,signal
5.845235101974879,signal
7.635279350164977,signal
4.786977353566386,signal
8.427413114090124,signal
6.321437929091273,signal
5.278983392571485,signal
3.3751162724279786,signal
4.49911885944724,signal
4.7865750729468,signal
5.774864780117216,signal
5.828382288410553,signal
3.7009884529745576,signal
3.6670962999285464,signal
4.655061620853833,signal
5.063337779027731,signal
2.9104171177511855,signal
5.29051576697817,signal
4.847432382540005,signal
6.444507921509155,signal
3.1125665148851516,signal
2.9965188076695686,signal
4.092113637087611,signal
3.068468431656905,signal
4.627080229595943,signal
5.5737152671850945,signal
5.962502895525891,signal
4.478879268629791,signal
6.002984971677025,signal
5.747358295543046,signal
4.728742543047306,signal
5.988733431739224,signal
4.385135658388339,signal
5.216165789016797,signal
5.801589097500004,signal
4.7717667099154575,signal
3.5879844218289096,signal
4.12127638257756,signal
3.504860167669217,signal
4.018465534322219,signal
2.985821061096234,signal
5.065038092137109,signal
5.5223291675254265,signal
5.223883086304409,signal
4.51220031564277,signal
4.052514086272062,signal
5.1749333188860405,signal
2.9296834343127514,signal
5.951150903248919,signal
5.214235504855573,signal
5.214938532066174,signal
3.409780716123972,signal
4.713776652616653,signal
6.039241276257381,signal
4.37156598144606,signal
6.169112809775049,signal
5.103798458715768,signal
5.85604097379341,signal
4.660194513109692,signal
5.326568752549398,signal
6.09056096453233,signal
4.903571018119676,signal
3.126004063643225,signal
5.475519221571128,signal
4.8743346320101795,signal
7.044684068145692,signal
4.875311801073689,signal
3.9589102069080413,signal
4.324541832584517,signal
5.408313643867757,signal
5.957877672456326,signal
5.7689816914097,signal
6.599066710171403,signal
5.545550545509484,signal
4.8720785389451935,signal
5.315676922002492,signal
3.8197146029136935,signal
6.422650039360259,signal
6.039346505558668,signal
5.662301883845424,signal
6.656333836081871,signal
4.846029915957718,signal
6.19233929017887,signal
5.620015106027323,signal
6.431448708533572,signal
3.755737872006386,signal
2.9554827358281215,signal
5.796524408841143,signal
4.6749982727117505,signal
5.729381827613575,signal
5.150950523145414,signal
4.930730277575426,signal
5.552306592080279,signal
3.566621387387042,signal
3.86669592564958,signal
5.129957554528747,signal
5.423822249002673,signal
4.840580986854923,signal
3.6045843493821,signal
7.011183043847605,signal
3.3303155909411295,signal
5.228841926812011,signal
4.268703588825328,signal
4.989930276213366,signal
3.770980296731632,signal
2.2768207253999035,signal
4.526276640180273,signal
5.473942121803731,signal
5.486142395712106,signal
4.28730903449545,signal
3.6927360092441885,signal
3.763116630020704,signal
4.687967413220069,signal
6.206915963562734,signal
5.171393066893,signal
4.616128928449766,signal
5.064342150123918,signal
5.503451132271218,signal
6.696475443188307,signal
5.948219741982172,signal
3.8487786388854435,signal
4.13242340152758,signal
4.346015046776621,signal
5.524029048824551,signal
5.775322832555569,signal
3.8309486331289326,signal
5.861752260427998,signal
6.267248520009149,signal
5.852298276094195,signal
4.074813028199918,signal
5.989420309362654,signal
6.076699932849323,signal
6.1272733356243245,signal
4.054127231803358,signal
3.204053172541479,signal
4.231004142598909,signal
5.102482392072895,signal
4.152131457468546,signal
4.953983500530745,signal
4.557481124022674,signal
4.970692412700407,signal
4.559232283476691,signal
6.746387209038003,signal
5.098384983016375,signal
3.6047204690180044,signal
5.511112215303224,signal
4.152844981541552,signal
4.777504370736933,signal
4.64193219060861,signal
6.002580292033595,signal
5.251126653044854,signal
5.593007265487169,signal
4.052076190731551,signal
4.733826181370577,signal
4.156891784628327,signal
3.451841935067458,signal
3.4648079274067762,signal
6.273261999338429,signal
5.339085462757183,signal
6.2799579896430275,signal
5.982930722100531,signal
4.195913827151859,signal
4.646047561070253,signal
4.388947745887276,signal
5.631157564405292,signal
5.241356655865234,signal
5.619476839342146,signal
4.633706168757234,signal
6.424949938239651,signal
4.86907978493051,signal
5.733558083576345,signal
7.022846352410873,signal
5.954391042575485,signal
5.635596924210045,signal
5.06089510607675,signal
3.3661987859860507,signal
4.088605227222173,signal
4.325070638630391,signal
4.497772339787714,signal
5.96640010249258,signal
5.9138241872517305,signal
6.322605111171032,signal
3.8393158916517525,signal
2.2124160386487146,signal
4.376045755819686,signal
4.226254014906257,signal
4.33643709672482,signal
4.0015196744662935,signal
4.058530509322354,signal
5.885149898320758,signal
3.8643501968678335,signal
4.893069163032578,signal
4.4706688653806115,signal
4.9785823095350406,signal
4.92293683529414,signal
4.981288910370217,signal
6.393030946076203,signal
4.969779742150612,signal
5.03676377140227,signal
4.148268993157341,signal
3.989810228487643,signal
4.932013094782964,signal
5.498800948148551,signal
4.4387455965680696,signal
4.523361729112491,signal
6.08478592876295,signal
5.889111230619987,signal
5.477817972140858,signal
5.370600989079276,signal
4.670318399961261,signal
6.5666432418104375,signal
4.979499507502644,signal
5.984354407643377,signal
5.635384483472805,signal
3.9964879320244284,signal
2.416811454409889,signal
6.889010994565453,signal
5.097324200932106,signal
5.93532699830038,signal
6.34037343153325,signal
4.175559516330777,signal
5.2788822315625055,signal
2.6801432442230153,signal
4.888713153883627,signal
3.8773514628169634,signal
5.723980773905008,signal
4.041842753924879,signal
4.675570671329413,signal
4.324575828447158,signal
4.779089461922169,signal
3.8710094748203177,signal
4.9581064590307715,signal
4.016330975206053,signal
4.76173650339287,signal
5.943822929190003,signal
4.118478710318349,signal
5.343518134616705,signal
4.506578912722705,signal
6.12213533940154,signal
3.8939959516700045,signal
3.546116160892364,signal
3.310384096475082,signal
3.933960030174082,signal
5.90757813034964,signal
5.562372575480824,signal
3.173252169299297,signal
5.091484016160754,signal
4.567685980827365,signal
3.2265341904514515,signal
5.381153139751177,signal
4.758992678617076,signal
5.188448547495577,signal
5.386735483865157,signal
3.36236211302657,signal
3.920216346092806,signal
4.801733827313207,signal
5.584184532690815,signal
7.18136570017523,signal
4.930305442650044,signal
5.764323721231731,signal
4.251612573354076,signal
5.138734139859493,signal
4.5318060922945795,signal
4.668492920456041,signal
4.826171919903454,signal
5.361042949066657,signal
5.143674323764599,signal
4.011762893007416,signal
4.51312656364469,signal
5.069073446840245,signal
6.398799043741262,signal
5.944252498653606,signal
3.690732777978016,signal
5.811984879618697,signal
