value,type
4.704544639447606,signal
4.506041329951248,signal
4.650656096657874,signal
5.232667879590994,signal
3.697373362769495,signal
6.5685279026255525,signal
7.054934842520325,signal
4.300628864081379,signal
7.158904551393604,signal
4.182330773955467,signal
6.81855010540809,signal
4.765995034165303,signal
5.519751706326267,signal
2.7547992403769688,signal
5.772012767562601,signal
5.868423834295201,signal
7.362855597043538,signal
6.08058273431088,signal
4.145440284359581,signal
6.830443478481738,signal
5.341811105384057,signal
4.627018723314197,signal
5.2455758512299395,signal
6.993513524593355,signal
5.596611973125188,signal
3.8528536737773207,signal
5.321755645664138,signal
5.521892971507327,signal
4.5904262637976005,signal
4.194623033225201,signal
5.758603146051968,signal
5.683474090675319,signal
5.665611038928055,signal
6.0609620021123245,signal
4.267379798293267,signal
6.452442800185133,signal
5.282929394181995,signal
4.986248568078632,signal
3.767465171111529,signal
6.264019323374368,signal
3.9086718482102842,signal
5.366050264666241,signal
6.112809393785172,signal
3.8042143448236576,signal
5.595801297489066,signal
4.919564311401852,signal
4.2946318409596245,signal
4.054183427916136,signal
5.682304077213867,signal
5.067030972562585,signal
4.031004978720027,signal
5.87207469920314,signal
5.369236953977275,signal
4.613496619309164,signal
2.7587130633704624,signal
5.215160219825675,signal
5.914938619337394,signal
5.3562695658602255,signal
7.202725089129716,signal
4.603397414838776,signal
4.335360761194339,signal
4.279117605252997,signal
4.998777204896797,signal
4.122980986821715,signal
4.9246286658757015,signal
6.05051029422732,signal
6.25464096406211,signal
5.692288728550994,signal
5.472659617621777,signal
6.932775805340923,signal
5.382941722949759,signal
4.611226498973161,signal
5.135904438155658,signal
6.2254595355451645,signal
5.239027865523226,signal
4.647570573255591,signal
2.928157566800518,signal
4.463076721065098,signal
3.8031247338127523,signal
5.828567877223393,signal
5.253109734672623,signal
5.970279067269799,signal
5.203062633088359,signal
5.032051931128362,signal
4.912215172256264,signal
6.4140024373831,signal
4.8365822455117025,signal
5.151251400345156,signal
3.680814169543,signal
4.564802599784436,signal
4.597049959178325,signal
4.671139961170542,signal
3.2661735642536174,signal
5.122176441680398,signal
4.859431537375627,signal
4.763830270617011,signal
2.72845656693882,signal
4.4542836303624,signal
6.20051120089317,signal
3.874147247208467,signal
4.889222947872951,signal
5.079383340755543,signal
6.214394624789184,signal
5.953415717451707,signal
5.204402027154707,signal
5.241319131190749,signal
4.735576423712992,signal
4.6444443106474615,signal
3.8704696362434055,signal
4.791674559446742,signal
4.5660979403444255,signal
4.122342734036217,signal
3.890944140003099,signal
4.470009608593067,signal
3.9435391760079357,signal
5.439632022645353,signal
4.434299390011066,signal
5.116669182386262,signal
3.9504668275064896,signal
3.9613782297077087,signal
4.724831640147238,signal
2.5584768881262043,signal
4.438518873470373,signal
3.4908264416744204,signal
4.434066852054881,signal
5.831647508078117,signal
4.87173062034447,signal
6.030925653704682,signal
4.454523389250516,signal
