value,type
6.699210845724872,signal
3.297899525181443,signal
5.496070878404832,signal
3.590226485297624,signal
4.545083551219671,signal
5.5531762688413036,signal
4.603766540080802,signal
4.865177853717908,signal
3.7338407152298054,signal
7.432234153331905,signal
4.074730903197445,signal
4.300886217872419,signal
4.867589480662863,signal
7.05647066692154,signal
4.530027536308819,signal
3.9434969983230017,signal
4.977975118567211,signal
3.9566674429677415,signal
4.270265880689629,signal
5.995725068104954,signal
4.779900524139236,signal
5.355642340934494,signal
5.172240234071552,signal
6.261894588342472,signal
5.905313734853738,signal
1.9062479094026776,signal
4.576386912355504,signal
5.5587074419803955,signal
4.324938029012671,signal
4.2520177329987145,signal
5.319864444640006,signal
5.357672225177483,signal
6.775492642152308,signal
4.960909061894762,signal
5.584474979755283,signal
6.281352421019383,signal
5.3539713143355545,signal
4.836092672452687,signal
6.379325324737503,signal
6.127143926689131,signal
3.8911628604582056,signal
5.1365524616347695,signal
6.115746301025783,signal
3.8086681147478503,signal
4.902000958637848,signal
3.3845219326624707,signal
4.162878505754816,signal
5.260542677058688,signal
6.448964331861977,signal
4.309040779539424,signal
2.70633911487471,signal
5.593717721755006,signal
4.098688270773629,signal
3.8253944845286556,signal
4.825543469700057,signal
3.954971282799378,signal
5.2632488273748566,signal
3.5048835482478373,signal
3.96667449659241,signal
5.26422569879573,signal
3.8260273227935295,signal
4.205487289731898,signal
5.280501878959698,signal
5.050594980086068,signal
5.343092692729484,signal
5.514935303751923,signal
4.503671391698363,signal
4.041901498540555,signal
5.671645667611619,signal
4.257155814610408,signal
4.710199260442717,signal
4.118408431971118,signal
5.189771702157262,signal
3.5873323292940755,signal
5.965326712147415,signal
4.089360977051143,signal
5.56316766506796,signal
4.43228222421106,signal
4.98732720738018,signal
6.331623934394186,signal
4.585213267734381,signal
6.2193706907703366,signal
5.3212072915337245,signal
4.785613053653501,signal
4.443229762434052,signal
5.052192632410004,signal
4.986021759647597,signal
2.6536733289507035,signal
5.530811061265098,signal
3.7636946542039684,signal
4.6842511732782155,signal
4.513510935782106,signal
5.076290567040891,signal
2.9711512008572147,signal
6.187358920998185,signal
5.435933828500011,signal
4.957169643773577,signal
4.550269758073049,signal
5.2539149685320545,signal
4.631765853554472,signal
5.1492785442131455,signal
7.051580247123825,signal
5.3336264883532944,signal
5.750001682860136,signal
3.2566076313932752,signal
4.535482034580079,signal
5.715524293578493,signal
5.929340575273397,signal
5.0080264524816345,signal
5.926201775243042,signal
4.159337964163823,signal
4.440560221351515,signal
3.6445964332736027,signal
3.787051519695401,signal
5.291666323928676,signal
5.568937205962113,signal
4.235780914751383,signal
5.393727759222182,signal
5.970832349700395,signal
5.754954776215102,signal
6.341629478078156,signal
4.281058354700212,signal
4.160098731444881,signal
5.218387704362249,signal
5.038816637220372,signal
5.863900862929609,signal
4.295440791397516,signal
3.494231477490249,signal
4.417129734821357,signal
5.088595630574256,signal
4.787441292056145,signal
4.561479435512681,signal
6.121229669872066,signal
5.290454702154671,signal
5.931512463231155,signal
4.688789142764759,signal
5.326629380883439,signal
5.622155658172232,signal
